10
30
10 30 10 10 10 20 20 20 10 10  
0   18.68   20.61   16.12   18.11   15.13   19   16   18.11   20.09   16.76
18.68   0   2   3.6   3   4.24   5.09   5.38   7   7.28   10.19    
20.61   2   0   5   3.6   5.83   5.09   6.4   7.28   7   10.77   
16.12   3.6   5   0   2   1   3.6   2   4.47   5.65   7    
18.11   3   3.6   2   0   3   2.23   2.82   4   4.47   7.28   
15.13   4.24   5.83   1   3   0   4.47   2.23   5   6.4   7.07   
19   5.09   5.09   3.6   2.23   4.47   0   3   2.23   2.23   5.83    
16   5.38   6.4   2   2.82   2.23   3   0   2.82   4.47   5    
18.11   7   7.28   4.47   4   5   2.23   2.82   0   2   3.6     
20.09   7.28   7   5.65   4.47   6.4   2.23   4.47   2   0   5    
16.76   10.19   10.77   7   7.28   7.07   5.83   5   3.6   5   0   
